tipo,n_elementos,execucao,tempo_s,comparacoes,memoria_kb
3,1000,1,0.000136530,529,2208
3,1000,2,0.000175511,529,2208
3,1000,3,0.000110022,529,2208
3,1000,4,0.000113057,529,2208
3,1000,5,0.000105600,529,2208
3,1000,6,0.000163160,529,2208
3,1000,7,0.000104120,529,2208
3,1000,8,0.000104425,529,2208
3,1000,9,0.000104306,529,2208
3,1000,10,0.000209338,529,2208
3,1000,11,0.000104505,529,2208
3,1000,12,0.000102852,529,2208
3,1000,13,0.000125076,529,2208
3,1000,MEDIA,0.000127577,529.00,2208.00
3,10000,1,0.003470887,5096,2208
3,10000,2,0.001818711,5096,2208
3,10000,3,0.001929380,5096,2208
3,10000,4,0.001441980,5096,2240
3,10000,5,0.001395106,5096,2368
3,10000,6,0.001510214,5096,2368
3,10000,7,0.001354914,5096,2496
3,10000,8,0.001170743,5096,2496
3,10000,9,0.001125401,5096,2624
3,10000,10,0.001543783,5096,2752
3,10000,11,0.001257538,5096,2752
3,10000,12,0.001283517,5096,2880
3,10000,13,0.002095681,5096,2880
3,10000,MEDIA,0.001645989,5096.00,2498.46
3,100000,1,0.035570170,50229,6592
3,100000,2,0.015098908,50229,7360
3,100000,3,0.015248724,50229,8128
3,100000,4,0.022683857,50229,8896
3,100000,5,0.019445308,50229,9664
3,100000,6,0.016214889,50229,10432
3,100000,7,0.020005288,50229,11200
3,100000,8,0.019934547,50229,11968
3,100000,9,0.024386796,50229,12736
3,100000,10,0.017798702,50229,13632
3,100000,11,0.020298904,50229,14400
3,100000,12,0.039542789,50229,15168
3,100000,13,0.036851346,50229,15936
3,100000,MEDIA,0.023313864,50229.00,11239.38
3,1000000,1,0.405394832,499943,51904
3,1000000,2,0.302591253,499943,59712
3,1000000,3,0.319290116,499943,67520
3,1000000,4,0.292997820,499943,75328
3,1000000,5,0.331899135,499943,83136
3,1000000,6,0.287117714,499943,90944
3,1000000,7,0.330018143,499943,98752
3,1000000,8,0.287564247,499943,106560
3,1000000,9,0.317591091,499943,114368
3,1000000,10,0.308817991,499943,122176
3,1000000,11,0.272355360,499943,129984
3,1000000,12,0.290483334,499943,137792
3,1000000,13,0.295097465,499943,145600
3,1000000,MEDIA,0.310862962,499943.00,98752.00
3,10000000,1,5.386689043,4999615,505024
3,10000000,2,4.711745919,4999615,583104
3,10000000,3,4.686572292,4999615,661312
3,10000000,4,5.137247502,4999615,739392
3,10000000,5,4.805631843,4999615,817472
3,10000000,6,1.943850613,4999615,895680
3,10000000,7,1.265309331,4999615,973760
3,10000000,8,1.249532523,4999615,1051840
3,10000000,9,1.280744762,4999615,1130048
3,10000000,10,1.227729047,4999615,1208128
3,10000000,11,1.257306243,4999615,1286208
3,10000000,12,1.273318370,4999615,1364416
3,10000000,13,1.255928636,4999615,1442496
3,10000000,MEDIA,2.729354317,4999615.00,973760.00
