tipo,n_elementos,execucao,tempo_s,comparacoes,memoria_kb
1,1000,1,0.000040363,0,2208
1,1000,2,0.000025608,0,2208
1,1000,3,0.000025044,0,2208
1,1000,4,0.000044280,0,2208
1,1000,5,0.000024957,0,2208
1,1000,6,0.000025421,0,2208
1,1000,7,0.000025139,0,2208
1,1000,8,0.000025712,0,2208
1,1000,9,0.000025696,0,2208
1,1000,10,0.000023526,0,2208
1,1000,11,0.000025534,0,2208
1,1000,12,0.000026083,0,2208
1,1000,13,0.000031892,0,2208
1,1000,MEDIA,0.000028404,0.00,2208.00
1,10000,1,0.000356859,0,2208
1,10000,2,0.000302806,0,2208
1,10000,3,0.000239557,0,2208
1,10000,4,0.000247625,0,2240
1,10000,5,0.000248217,0,2368
1,10000,6,0.000241779,0,2368
1,10000,7,0.000268963,0,2496
1,10000,8,0.000271626,0,2496
1,10000,9,0.000264958,0,2624
1,10000,10,0.000266961,0,2752
1,10000,11,0.000267313,0,2752
1,10000,12,0.000253174,0,2880
1,10000,13,0.000288387,0,3008
1,10000,MEDIA,0.000270633,0.00,2508.31
1,100000,1,0.004726911,0,6592
1,100000,2,0.002911383,0,7360
1,100000,3,0.004097879,0,8128
1,100000,4,0.002716063,0,8896
1,100000,5,0.002683876,0,9664
1,100000,6,0.001805409,0,10432
1,100000,7,0.001349719,0,11200
1,100000,8,0.002957366,0,11968
1,100000,9,0.001310830,0,12736
1,100000,10,0.002289503,0,13632
1,100000,11,0.001912235,0,14400
1,100000,12,0.001932253,0,15168
1,100000,13,0.001489390,0,15936
1,100000,MEDIA,0.002475601,0.00,11239.38
1,1000000,1,0.027228246,0,51904
1,1000000,2,0.012253909,0,59712
1,1000000,3,0.015184003,0,67520
1,1000000,4,0.012378081,0,75328
1,1000000,5,0.014486273,0,83136
1,1000000,6,0.012256362,0,90944
1,1000000,7,0.014246519,0,98752
1,1000000,8,0.014792913,0,106560
1,1000000,9,0.012318512,0,114368
1,1000000,10,0.014239247,0,122176
1,1000000,11,0.015647171,0,129984
1,1000000,12,0.013507577,0,137792
1,1000000,13,0.013122436,0,145600
1,1000000,MEDIA,0.014743173,0.00,98752.00
1,10000000,1,0.222623538,0,505024
1,10000000,2,0.141064788,0,583104
1,10000000,3,0.127993416,0,661184
1,10000000,4,0.120995091,0,739392
1,10000000,5,0.121119390,0,817472
1,10000000,6,0.120319457,0,895552
1,10000000,7,0.116916904,0,973760
1,10000000,8,0.117365837,0,1051840
1,10000000,9,0.123859467,0,1130048
1,10000000,10,0.122072762,0,1208128
1,10000000,11,0.119556804,0,1286208
1,10000000,12,0.117172858,0,1364416
1,10000000,13,0.117825801,0,1442496
1,10000000,MEDIA,0.129914316,0.00,973740.31
